"StringId","Text"
"100275","[ignore]"
"99938","Dadora-de-presentes Pinn"
"94419","Keeth [lbracket]Chapéus Festivaleiros[rbracket]"
"94418","Serenidade [lbracket]Fabricante de Trajes[rbracket]"
"93967","Desculpa, eu ainda não estou pronto[f:""pronta""] para ser julgado[f:""julgada""] pela minha grandeza."
"93961","Eu vim aqui à procura de documentar as histórias das maiores grandezas. Conta-me, o que é que há em ti que te faz incrível?"
"93960","Kimmes o Historiador"
"93537","Os meus serviços estão reservados apenas para aqueles que servem a Vanguarda de Ascalon. Quando provar a sua habilidade a <c=@quest>[id:93434]</c>, eu terei todo o gosto em ajuda-lo a aprender novas habilidades."
"93536","Halbrik [lbracket]Habilidades[rbracket]"
"93534","Eu sou a Langmar da Vanguarda de Ascalon. Depois de teres alguma experiencia, eu poderei ter algumas tarefas para ti."
"93434","[F]Tenente Langmar"
"89056","Hmm. De acordo com os meus registos, você ainda não comprou nenhum traje. Vai ter de falar com o meu agente na [id:87551] para adquirir um."
"88556","É uma roupa festiva que você equipa nas ranhuras para trajes, de maneira a que mude o seu aspeto e fique fabuloso. Estas roupas decorativas podem ser vestidas por cima da sua armadura sem sacrificar a proteção que esta lhe dá. Os trajes podem ser comprados através do meu agente na [id:87551]. Assim que você comprar um traje, qualquer personagem na sua conta poderá vir ter comigo ou qualquer outro [lbracket]Fabricante de Trajes[rbracket] para arranjar uma copia. É tão fácil!"
"88555","O que é um traje?"
"88554","Eu tenho novos trajes fabulosos à venda! Está interessado em arranjar um?"
"87551","Loja Online"
"69419","Arco Recurvo"
"69417","Arco Longo"
"69415","%str1% para as duas mãos"
"69098","Ajuda"
"68603","Não-pronto"
"68602","Convidar"
"68165","Mais Opções..."
"68164","Internacional"
"68163","Europa"
"68162","Ásia"
"68161","América"
"68160","[ignore]"
"68159","[ignore]"
"68157","Distrito %num1%"
"68155","Distrito Ativo"
"65933","Pronto"
"58781","Russo"
"58772","_Selecionar Personagem"
"57810","Procurar"
"57795","Japonês"
"57567","Se ficou sem espaço no seu inventário para todos os seus chapéus festivaleiros, eu posso ajudar."
"55784","[ignore]"
"53231","Cinzento"
"52068","Formação do Grupo"
"47732","Procurar Grupo"
"44179","Poláco"
"37739","Arco Longo de Ascalon"
"35893","Habilidades e Atributos"
"32240","Posto"
"27504","Aliança"
"23681","Área Explorável"
"16194","%% Aliança"
"15460","Ascalon"
"15171","Estou pronto para formar uma guilda"
"15169","Se está pronto para criar uma nova guilda, eu posso dar inicio aos arranjos officiais. Se tiver alguma duvida sobre guildas, talvez eu consiga-a responder.<p>Muito bem, o que posso fazer por si?"
"14253","Arthur Ayala [lbracket]Armas[rbracket]"
"13100","Irmão Mhenlo"
"13043","[F]Lina a Curadora"
"12954","Está uma brisa agradável hoje... mas não a deixe distrair da sua tarefa.<p>O que é que deseja discutir?"
"12953","Armin Saberlin"
"12938","Olá outra vez amigo[f:""amiga""]! Espero que a nossa bela cidade te esteja a tratar bem.<p>Há algo que gostarias de saber mais?"
"12930","[M]Senhor Tydus"
"12929","Prazer, jovem %str1%! É um dia glorioso para estar vivo, não é? Eu sei que alguns podem pensar que isto são tempos sombrios com os Charr a ameaçar-nos do norte, mas Ascalon é a maior nação na Tyria. Nunca cairemos diante os Charr. Nunca!"
"12928","[M]Princípe Rurik"
"12926","Barão Egan"
"12925","Olá. Sim, a minha familia é originalmente da Kryta, mas já nos encontramos em Ascalon há três gerações, e o meu pai luta pelos Escolhidos de Ascalon. Esta é a nossa casa agora, não Kryta.<p>Peço desculpa, suponho que esteja um bocado na defensiva. Ascalon e Kryta estiveram em guerra durante muito tempo, e aqui não nós recebem, os Krytãos, de braços abertos.<p>Em que posso ajudá-lo?"
"12924","[M]Namar"
"12917","Há sempre algo ou alguem interessante pela cidade de Ascalon.<p>Precisa de discutir alguma coisa?"
"12916","[M]Pregoeiro"
"12915","Bem, olá. O meu nome é Sandre.<p>Vai estar a olhar todo o dia para mim, ou há alguma coisa que queira falar?"
"12914","[F]Sandre Elek"
"12913","Não quero ser incomodada agora. Estou à espera do meu pai."
"12912","Se vires a Capitão Devona, diz-lhe... oh, esqueçe."
"12911","Não estou com vontade de falar, por isso sume!"
"12910","Toda a gente fala da cidade de Ascalon, mas eu gosto muito mais de Surmia."
"12909","Eu pareço o arauto da cidade? Estou ocupada."
"12908","[F]Cynn"
"12691","[M]Brownlow [lbracket]Colecionador[rbracket]"
"12288","Registador de Guildas"
"11463","[M]Sanura [lbracket]Mercador[rbracket]"
"11418","Elias [lbracket]Armas[rbracket]"
"11417","Spence [lbracket]Mercador[rbracket]"
"11407","Riley [lbracket]Mercador[rbracket]"
"10886","Desculpe cidadão, mas tenho trabalho importante para fazer."
"10885","O dever chama."
"10884","Por Ascalon!"
"10883","Acha que as historias do Rei Doric são verdadeiras?"
"10882","Se há algum sitio melhor em Tyria, então nunca o vi."
"10881","Talvez deva deixar a galinha assada."
"10880","Não deixe o meu irmão apanhar-lhe a olhar assim para mim."
"10879","Como está?"
"10878","Eu sei que estou irrestível, mas isso não quer dizer que pode tocar-me quando quer."
"10877","Quem, eu?"
"10876","Eu era o unico lá, e não vi nada."
"10875","A sua mãe não lhe ensinou a não falar com estranhos?"
"10874","Não há muito para um soldado fazer, agora que tratámos dos Charr."
"10873","Leu alguns livros bons ultimamente?"
"10872","Já considerou tornar-se numa freira?"
"10871","Você lembra-me um pouquinho de um jacaré."
"10870","Já ouviu a anedocta sobre a bolacha? Aw, é quebradiça."
"10869","Sabe o que eu podia comer agora? Uma laranja grande e gorda."
"10868","Parece que vai chover."
"10867","Eu gostaria de falar consigo, mas para isso teria de falar consigo."
"10866","Va-se embora antes que eu lhe diriga a ponta da minha espada."
"10865","Esteja calado."
"10864","Bom dia para fazer uma sesta debaixo de uma árvore."
"10863","Oh, os meus pés doridos."
"10862","Apetecia-me uma cerveja."
"10861","Acha que esta armadura faz-me parecer gordo?"
"10860","Ouvi que os Escolhidos de Ascalon estão a combater outra guilda de Orr hoje."
"10859","Não tenho ouvido daqueles Krytans ultimamente."
"10858","Pergunto o que se passa a norte da Moralha."
"10857","Parece calmo hoje."
"10856","Um soldado pode ficar com uma grande queimadura debaixo deste sol."
"10855","Estou esfomeado."
"10854","As borbolotas estão a voar por aí hoje."
"10853","A Moralha está linda hoje, não é?"
"10852","Um dia bonito em Ascalon, eh?"
"10851","Não me toque. Eu disse não me toque."
"10850","Tenho cara de guia turístico?"
"10849","Não tenho tempo para si. Estou a guardar algo muito importante."
"10848","Não me toque. Sou super importante."
"10847","Foi apenas um pequeno erro! Agora estou preso com serviço de guarda."
"10846","Guarda de Ascalon"
"10803","Estou à procura de %num1% %str1%. Posso oferecer-lhe um dos seguintes objetos em troca. Consegue ajudar-me?<p>"
"10742","[ignore]"
"10735","[ignore]"
"10732","%num1% ouro<brx>"
"10730","%num1% experiência<brx>"
"10728","Recompensa:<brx>"
"10726","[ignore]"
"10725","Vou à minha vida."
"10719","Aceitar"
"10479","A maior cidade do reino, a Cidade Ascalon é conhecida pela sua bela arquitectura, inúmeras bibliotecas, e lojas abundantes. Como é o sitio onde muitas famílias nobres moram, ela tende a receber o maior número de visitantes e tornou-se no centro cultural de Ascalon."
"10478","Cidade Ascalon"
"10470","Feira dos Fracos"
"10468","Monte do Mago Louco"
"10466","Mosteiro de Ashford"
"10464","Condado Beira do Lago"
"10462","Fazenda do Barradin"
"10460","Condado Montes Verdes"
"10458","As Catacumbas"
"9757","[M]Kit de Reciclagem"
"9752","[M]Kit de Identificação"
"9729","Espada de Rin"
"9558","[M]Escudo de Principiante"
"9552","Escudo Alto"
"9292","Ovo de Devorador"
"9288","[M]Cofre de Ashford"
"9145","[F]Capa de Criança Pequena"
"9028","Martelo Antagonista"
"8917","Símbolo Divino"
"8912","Artefacto de Chama"
"8892","Ícone Protetivo"
"8879","Ankh de curar"
"8835","Artefato de Chama"
"8795","Artefato de Tempestade"
"8793","[F]Flauta"
"8759","Ícone Amaldiçoado"
"8743","Ídolo"
"8719","Chakram com Jóias"
"8698","Chakram Inscrito"
"8692","[M]Foco"
"8654","[M]Frasco[s] de tinta"
"8511","Arco de Principiante"
"8360","Mochila"
"8338","Machado de Kyhlo"
"8278","Para a Cidade Ascalon"
"8277","Para o [id:10468]"
"8275","Para Ashford"
"8274","Bem-vindo a Ashford"
"8273","Para o Palco dos Atores"
"8272","Palco dos Atores de Althea"
"8271","Para o Vale Regente"
"8266","Academia de Ascalon"
"8262","Estátua de Dwayna"
"5706","[F]Artemis a Patrulheira"
"5641","Vai até a praça da cidade e fala com o [id:12930]."
"5640","Aí estás tu, meu[f:""minha""] amigo[f:""amiga""]. Estou feliz por estares aqui. Tenho notícias que eu acho que vais apreciar."
"5639","Tenho a certeza que o <c=@Quest>[id:12930]</c> está algures por aqui. Ele estava ansioso por falar consigo."
"5638","Desculpe, você é o[f:""a""] %str1%, não é? Eu acho que o <c=@Quest>[id:12930]</c> estava a sua procura. Ele disse que tinha boas noticias para si."
"5637","Deixe-me em paz."
"5636","Eu gosto de boas notícias."
"5635","Mensagem de um amigo"
"5454","Este problema não é meu."
"5453","Certamente. Como é que poderia recusar?"
"5451","Segue a estrada no sentido sudoeste da cidade até Ashford. Encontra Miller Upton e pede-lhe para ajudar o [id:12924]."
"5449","<c=@Quest>Miller Upton</c> mora a sudoeste daqui, no moinho em Ashford. Se você conseguir passar-lhe a palavra do meu problema, eu sei que ele me irá ajudar."
"5448","Infelizmente tenho a renda em atraso, e o meu senhorio, Gelsan, já ficou sem paciência comigo. Tenho receio que vou ser despejado da minha casa. Eu compreendo se não quiser ajudar um Krytão; as nossas nações estiveram em guerra durante muito tempo. Mas eu não sou o seu inimigo, e podia realmente usar a sua assistência.<p>O meu amigo, <c=@Quest>Miller Upton</c>, mora para o sudoeste. Eu sei que ele me irá ajudar se eu lhe chegar uma mensagem. Se você for naquela direção, poderia contar-lhe da minha situação?"
"5447","Inquilino Pobre"
"5252","Não acho que seja a pessoa certa para o trabalho."
"5251","Pode contar comigo."
"5250","Um grupo de bandidos tem andado a aterrorizar Beira do Lago recentemente. Eles tornaram-se tão ousados que emboscaram um cobrador de impostos real e roubaram um baú cheio de ouro. Esse ouro é vital na nossa campanha de guerra contra os Charr e tem de ser recuperado! Você parece que pode dar uma boa surra naqueles bandidos. Pode recuperar o <c=@Quest>baú roubado</c> e depois devolver-lo à <c=@Quest>Devona</c> em Ashford por mim?"
"5248","Recupera o [id:9288] dos bandidos."
"5247","Bandidos a Monte"
"5131","Tenho medo de combater."
"5130","Obrigado, [id:12930]. Estou a caminho."
"5129","Sai pelo portão para [id:10464] e fala com a [id:5706]."
"5128","Tu deves ser o[f:""a""] aspirante [id:2042] que me pediram para conheçer. Muito bem, vamos começar. Vamos começar por dar-te alguma experiencia com o teu arco, mas deves ter em mente que esta profissão requer um conjunto diversificado de habilidades. Como [id:2042], terás a oportunidade de aprender como montar armadilhas, ganhar um companheiro animal e usar rituais da natureza para alterar o campo de batalha todo. Acredita em mim, os inimigos vão temer a tua combinação de alcançe, velocidade, e resistência. Sim, é bom ser um[f:""uma""] [id:2042]."
"5127","A <c=@Quest>[id:5706]</c> vai estar à tua espera em <c=@Quest>[id:10464]</c>. Basta passar pelo portão sudoeste. Não consegues perde-lo."
"5126","Tenho estado à tua procura por todo o lado, %str1%. O rei ordenou uma nova ofensiva contra os Charr. Esta é a tua chance de gloria e aventura, mas vais precisar de saber mais sobre o teu ofício antes de ires para norte da Muralha.<p>Façamos assim: Caminha para o portão sudoeste, ele vai-te levar para <c=@Quest>[id:10464]</c>. Eu direi à <c=@Quest>[id:5706]</c> para esperar por ti lá fora. Ela pode mostrar-te um truque ou outro."
"5125","Preparações de Guerra"
"3698","[F]Gwen"
"3689","[M]Monge da Academia"
"3679","[M]Guarda de Ascalon"
"3668","[M]Guarda de Ascalon"
"3657","[M]Charr Perseguidor"
"3656","[M]Charr Fanático do Machado"
"3655","[M]Charr Portador de Chama"
"3604","Lobo"
"3595","Avestruz"
"2729","[ignore]"
"2569","Chinês Tradicional"
"2568","Espanhol"
"2567","Italiano"
"2566","Alemão"
"2565","Francês"
"2564","Coreano"
"2563","Inglês"
"2503","<c=@ItemCustom>Adaptado para %str1%</c>"
"2498","%num1% ouro"
"2479","contra %str1%"
"2477","contra dano elemental"
"2473","Precisa de %num1% %str1%"
"2472","[ignore]"
"2460","Objeto de missão"
"2456","Faz duplo clique para aplicar noutro objeto."
"2452","Para as duas mãos"
"2450","Faz duplo clique para reciclar materiais de artesanato comuns de um objeto."
"2448","Faz duplo clique para identificar outro objeto do teu inventário."
"2442","[ignore]"
"2441","%str1% %str2%: %num1%-%num2%"
"2438","[ignore]"
"2437","[ignore]"
"2436","[ignore]"
"2425","Fortitude"
"2393","Valor"
"2386","Vida"
"2382","Dano"
"2380","Dano"
"2377","[PM]Usos restantes"
"2372","Armadura"
"2367","[ignore]"
"2366","[ignore]"
"2365","[ignore]"
"2364","[ignore]"
"2363","[ignore]"
"2356","[ignore]"
"2355","%str1% de %str2%"
"2118","Manejo de Espada"
"2116","Domínio do Martelo"
"2071","Energia"
"2067","[ignore]"
"2064","Elementalista"
"2063","Ilusionista"
"2062","Necromante"
"2061","Monge"
"2060","Patrulheiro"
"2059","Guerreiro"
"2057","R"
"2056","A"
"2055","E"
"2054","I"
"2053","N"
"2052","M"
"2051","P"
"2050","G"
"2048","Ritualista"
"2047","Assassino[f:""Assassina""]"
"2046","Elementalista"
"2045","Ilusionista"
"2044","Necromante"
"2043","Monge"
"2042","Patrulheiro[f:""Patrulheira""]"
"2041","Guerreiro[f:""Guerreira""]"
"2028","Charr"
"2027","Cadáver de %Str1%"
"2016","cortante"
"2015","perforante"
"2014","contundente"
"1735","Missão Adicionada: %str1%"
"1345","Opções"
"1343","Amigos"
"1209","Expulsar"
"1160","Armas"
"1151","Gráfico dos Pontos"
"1145","Tens a certeza que queres sair?"
"1144","Tens a certeza que queres sair deste distrito?"
"1128","Resumo da Missão"
"1127","[ignore]"
"1125","Missões de %str1%"
"1124","Missões Principais"
"1120","Missões Ativas"
"1118","Tens a certeza que queres abandonar esta missão?"
"1117","Abandonar"
"1094","Negociar"
"1046","Seleciona um objeto do teu inventário em baixo e depois carrega em ""[id:1045]""."
"1045","Vender"
"1044","[ignore]"
"1043","Dinheiro:"
"1041","%str1% (vazio)"
"1025","Nome da Guilda:"
"979","(Adaptado)"
"978","Seleciona uma arma do teu inventário em baixo e depois carrega em ""[id:977]""."
"977","Adaptar"
"972","Criar"
"970","Trocar"
"969","Precisas de mais %num1% %str1%."
"967","Adeus"
"965","Seleciona um objeto da lista em baixo e depois carrega em ""[id:964]""."
"964","Comprar"
"856","Missões"
"854","Opções"
"852","Observar"
"851","Mapa Local"
"850","Mapa"
"849","Inventário"
"848","Guilda"
"847","Amigos"
"846","Sair"
"844","Herói"
"843","Sacos do Inventário"
"842","Menu"
"826","[ignore]"
"825","[ignore]"
"821","Nível: %num1%"
"765","Ouro<br>Mil ouro equivale a uma platina"
"727",""" Sussuro"
"726","$ Comércio"
"725","# Equipa"
"724","# Observadores"
"723","@ Guilda"
"722","! Todos"
"721","Comércio"
"720","Equipa"
"718","Local"
"717","Guilda"
"716","Gestos"
"705","Nível %num1%"
"699","Mapa Local"
"698","Carrega num marcador qualquer do mapa para viajar até lá."
"688","Estás em: %str1%."
"687","Viajar"
"686","%num1% ficheiro[s] em falta"
"684","Carregando..."
"498","Carrega aqui para adicionar um jogador para ignorar."
"497","Carrega aqui para adicionar um amigo."
"494","Conectado"
"493","Desconectado"
"492","Não incomodar"
"491","Ausente"
"490","Estado:"
"488","Ignorados"
"487","Amigos Desconectados"
"486","Amigos Conectados"
"40","Fechar"
"35","Aceitar"
"28","Próximo >"
"27","< Anterior"
"26","Não"
"25","Sim"
"24","Cancelar"
"23","OK"
"8","[ignore]"
"7","[ignore]"
"4","[ignore]"
"3","[ignore]"
"2","[ignore]"
"1","[ignore]"
